locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sudilovsky_02131	CDS	564				hypothetical protein
Sudilovsky_02132	CDS	345				hypothetical protein
Sudilovsky_02133	CDS	318				hypothetical protein
Sudilovsky_02134	CDS	216				hypothetical protein
Sudilovsky_02135	CDS	231				hypothetical protein
Sudilovsky_02136	CDS	237				hypothetical protein
Sudilovsky_02137	CDS	453				hypothetical protein
Sudilovsky_02138	CDS	597				hypothetical protein
Sudilovsky_02139	CDS	2235				hypothetical protein
Sudilovsky_02140	CDS	1578	guaA_2	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
Sudilovsky_02141	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
Sudilovsky_02142	CDS	1395	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
Sudilovsky_02143	CDS	1044	prtS	3.4.24.-		Protease PrtS
Sudilovsky_02144	CDS	348				hypothetical protein
Sudilovsky_02145	CDS	225	yfgJ		COG1645	putative protein YfgJ
Sudilovsky_02146	CDS	444				hypothetical protein
Sudilovsky_02147	CDS	960				hypothetical protein
Sudilovsky_02148	CDS	1488	der			GTPase Der
Sudilovsky_02149	CDS	1182	bamB		COG1520	Outer membrane protein assembly factor BamB
Sudilovsky_02150	CDS	621	yfgM		COG2976	Ancillary SecYEG translocon subunit
Sudilovsky_02151	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
Sudilovsky_02152	CDS	1122	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
Sudilovsky_02153	CDS	999	rodZ		COG1426	Cytoskeleton protein RodZ
Sudilovsky_02154	CDS	798	pilF			Type IV pilus assembly protein PilF
Sudilovsky_02155	CDS	1257	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
Sudilovsky_02156	CDS	429	ndk	2.7.4.6		Nucleoside diphosphate kinase
Sudilovsky_02157	CDS	1581	malP_1		COG1263	PTS system maltose-specific EIICB component
Sudilovsky_02158	CDS	1362	pagL	3.2.1.-	COG1486	6-phospho-alpha-glucosidase
Sudilovsky_02159	CDS	870	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
Sudilovsky_02160	CDS	789	glvR		COG1737	HTH-type transcriptional regulator GlvR
Sudilovsky_02161	CDS	795				hypothetical protein
Sudilovsky_02162	CDS	1308	pepB	3.4.11.23		Peptidase B
Sudilovsky_02163	CDS	201	iscX		COG2975	Protein IscX
Sudilovsky_02164	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
Sudilovsky_02165	CDS	1851	hscA		COG0443	Chaperone protein HscA
Sudilovsky_02166	CDS	519	hscB		COG1076	Co-chaperone protein HscB
Sudilovsky_02167	CDS	324	iscA		COG0316	Iron-binding protein IscA
Sudilovsky_02168	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
Sudilovsky_02169	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
Sudilovsky_02170	CDS	495	iscR		COG1959	HTH-type transcriptional regulator IscR
Sudilovsky_02171	CDS	726	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
Sudilovsky_02172	CDS	804	suhB	3.1.3.25	COG0483	Nus factor SuhB
Sudilovsky_02173	CDS	1119	btuF_1			Vitamin B12-binding protein
Sudilovsky_02174	CDS	1083	hmuU_2		COG0609	Hemin transport system permease protein HmuU
Sudilovsky_02175	CDS	801	fhuC_1	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
Sudilovsky_02176	CDS	324				hypothetical protein
Sudilovsky_02177	CDS	1668				hypothetical protein
Sudilovsky_02178	CDS	1128	molA_3		COG0614	Molybdate-binding protein MolA
Sudilovsky_02179	CDS	1104				hypothetical protein
Sudilovsky_02180	CDS	660				hypothetical protein
Sudilovsky_02181	CDS	1161	hcaT		COG2814	putative 3-phenylpropionic acid transporter
Sudilovsky_02182	CDS	1254	glyA	2.1.2.1		Serine hydroxymethyltransferase
Sudilovsky_02183	CDS	1191	hmp	1.14.12.17		Flavohemoprotein
Sudilovsky_02184	CDS	1659				hypothetical protein
Sudilovsky_02185	CDS	1107	pemA	3.1.1.11	COG4677	Pectinesterase A
Sudilovsky_02186	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
Sudilovsky_02187	CDS	1338	glrR		COG2204	Transcriptional regulatory protein GlrR
Sudilovsky_02188	CDS	852				hypothetical protein
Sudilovsky_02189	CDS	1437	qseE	2.7.13.3	COG2205	Sensor histidine kinase QseE
Sudilovsky_02190	misc_RNA	171				GlmY_tke1
Sudilovsky_02191	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
Sudilovsky_02192	CDS	1527	mltF_2	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
Sudilovsky_02193	CDS	507	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
Sudilovsky_02194	CDS	639	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
Sudilovsky_02195	CDS	927	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
Sudilovsky_02196	CDS	690				hypothetical protein
Sudilovsky_02197	CDS	1953				hypothetical protein
Sudilovsky_02198	CDS	345				hypothetical protein
Sudilovsky_02199	CDS	15240				hypothetical protein
Sudilovsky_02200	CDS	1353	bepC			Outer membrane efflux protein BepC
Sudilovsky_02201	CDS	2253	ltxB	7.4.2.5	COG2274	Leukotoxin export ATP-binding protein LtxB
Sudilovsky_02202	CDS	1362	prsE_4		COG0845	Type I secretion system membrane fusion protein PrsE
Sudilovsky_02203	CDS	1515				hypothetical protein
Sudilovsky_02204	CDS	636	pdeH	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeH
Sudilovsky_02205	CDS	261	yfhL		COG1145	Ferredoxin YfhL
Sudilovsky_02206	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
Sudilovsky_02207	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
Sudilovsky_02208	CDS	738	recO		COG1381	DNA repair protein RecO
Sudilovsky_02209	CDS	906	era_3		COG1159	GTPase Era
Sudilovsky_02210	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
Sudilovsky_02211	misc_RNA	176				rncO
Sudilovsky_02212	CDS	966	lepB	3.4.21.89	COG0681	Signal peptidase I
Sudilovsky_02213	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
Sudilovsky_02214	CDS	453	rseC		COG3086	Protein RseC
Sudilovsky_02215	CDS	963	rseB		COG3026	Sigma-E factor regulatory protein RseB
Sudilovsky_02216	CDS	648	rseA			Anti-sigma-E factor RseA
Sudilovsky_02217	CDS	576	rpoE			ECF RNA polymerase sigma-E factor
Sudilovsky_02218	CDS	108				hypothetical protein
Sudilovsky_02219	CDS	1602	nadB	1.4.3.16	COG0029	L-aspartate oxidase
Sudilovsky_02220	CDS	747	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
Sudilovsky_02221	CDS	1326	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
Sudilovsky_02222	CDS	384	grcA			Autonomous glycyl radical cofactor
Sudilovsky_02223	CDS	687	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
Sudilovsky_02224	tRNA	76				tRNA-Ala(ggc)
Sudilovsky_02225	tRNA	76				tRNA-Ala(ggc)
Sudilovsky_02226	CDS	1083				hypothetical protein
Sudilovsky_02227	CDS	465				IS3 family transposase IS103
Sudilovsky_02228	CDS	525				IS3 family transposase ISKpn8
Sudilovsky_02229	CDS	582	mdaB_1	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
Sudilovsky_02230	CDS	381	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
Sudilovsky_02231	CDS	552				hypothetical protein
Sudilovsky_02232	CDS	921				hypothetical protein
Sudilovsky_02233	CDS	459				hypothetical protein
Sudilovsky_02234	CDS	357				hypothetical protein
Sudilovsky_02235	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
Sudilovsky_02236	tRNA	76				tRNA-Val(tac)
Sudilovsky_02237	tRNA	76				tRNA-Val(tac)
Sudilovsky_02238	tRNA	76				tRNA-Val(tac)
Sudilovsky_02239	tRNA	76				tRNA-Lys(ttt)
Sudilovsky_02240	CDS	1107		1.-.-.-		NADH oxidase
Sudilovsky_02241	CDS	1050	yajO_3	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
Sudilovsky_02242	CDS	582				hypothetical protein
Sudilovsky_02243	CDS	435				hypothetical protein
Sudilovsky_02244	CDS	993	cysA_2	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
Sudilovsky_02245	CDS	882	cysW_1		COG4208	Sulfate transport system permease protein CysW
Sudilovsky_02246	CDS	813	cysT_1		COG0555	Sulfate transport system permease protein CysT
Sudilovsky_02247	CDS	1011	sbp		COG1613	Sulfate-binding protein
Sudilovsky_02248	CDS	1197	cdaR		COG3835	Carbohydrate diacid regulator
Sudilovsky_02249	CDS	1449	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
Sudilovsky_02250	CDS	1512	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
Sudilovsky_02251	CDS	699	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
Sudilovsky_02252	CDS	831	btuF_2		COG0614	Vitamin B12-binding protein
Sudilovsky_02253	CDS	279				hypothetical protein
Sudilovsky_02254	CDS	348	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
Sudilovsky_02255	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
Sudilovsky_02256	CDS	624	gstB_3	2.5.1.18	COG0625	Glutathione S-transferase GstB
Sudilovsky_02257	CDS	1461	norG_2			HTH-type transcriptional regulator NorG
Sudilovsky_02258	CDS	591				hypothetical protein
Sudilovsky_02259	CDS	2031	fhuB			Iron(3+)-hydroxamate import system permease protein FhuB
Sudilovsky_02260	CDS	927	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
Sudilovsky_02261	CDS	798	fhuC_2	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
Sudilovsky_02262	CDS	2481	mrcB		COG0744	Penicillin-binding protein 1B
Sudilovsky_02263	CDS	2445	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
Sudilovsky_02264	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
Sudilovsky_02265	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
Sudilovsky_02266	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
Sudilovsky_02267	CDS	933	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
Sudilovsky_02268	CDS	1359	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
Sudilovsky_02269	CDS	546	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
Sudilovsky_02270	CDS	798	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
Sudilovsky_02271	CDS	855	panC	6.3.2.1	COG0414	Pantothenate synthetase
Sudilovsky_02272	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
Sudilovsky_02273	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
Sudilovsky_02274	CDS	939	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
Sudilovsky_02275	CDS	642	can_1	4.2.1.1	COG0288	Carbonic anhydrase 2
Sudilovsky_02276	CDS	537	hpt	2.4.2.8		Hypoxanthine phosphoribosyltransferase
Sudilovsky_02277	CDS	432				hypothetical protein
Sudilovsky_02278	CDS	1086	cysA_3	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
Sudilovsky_02279	CDS	1623				hypothetical protein
Sudilovsky_02280	CDS	348				hypothetical protein
Sudilovsky_02281	CDS	864	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
Sudilovsky_02282	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
Sudilovsky_02283	CDS	240	nrdH		COG0695	Glutaredoxin-like protein NrdH
Sudilovsky_02284	CDS	408	nrdI		COG1780	Protein NrdI
Sudilovsky_02285	CDS	2181	nrdE1	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha 1
Sudilovsky_02286	CDS	963	nrdF	1.17.4.1		Ribonucleoside-diphosphate reductase 2 subunit beta
Sudilovsky_02287	tRNA	77				tRNA-Asp(gtc)
Sudilovsky_02288	CDS	738	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
Sudilovsky_02289	CDS	465	rnhA	3.1.26.4	COG0328	Ribonuclease HI
Sudilovsky_02290	CDS	711				hypothetical protein
Sudilovsky_02291	CDS	756	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
Sudilovsky_02292	CDS	1359	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
Sudilovsky_02293	CDS	789				hypothetical protein
Sudilovsky_02294	tRNA	77				tRNA-Asp(gtc)
Sudilovsky_02295	rRNA	111				5S ribosomal RNA
Sudilovsky_02296	misc_RNA	151				StyR-44
Sudilovsky_02297	tRNA	76				tRNA-Glu(ttc)
Sudilovsky_02298	rRNA	1538				16S ribosomal RNA
Sudilovsky_02299	CDS	2577	clpB		COG0542	Chaperone protein ClpB
Sudilovsky_02300	misc_RNA	143				Ysr155(RyfD)
Sudilovsky_02301	CDS	726	yfiH	2.4.2.1		Purine nucleoside phosphorylase YfiH
Sudilovsky_02302	CDS	978	rluD	5.4.99.23		Ribosomal large subunit pseudouridine synthase D
Sudilovsky_02303	CDS	735	bamD		COG4105	Outer membrane protein assembly factor BamD
Sudilovsky_02304	CDS	339	raiA		COG1544	Ribosome-associated inhibitor A
Sudilovsky_02305	misc_RNA	126				Phe_leader
Sudilovsky_02306	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
Sudilovsky_02307	CDS	1122	tyrA		COG0287	T-protein
Sudilovsky_02308	CDS	1074	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
Sudilovsky_02309	CDS	717	btsR		COG3279	Transcriptional regulatory protein BtsR
Sudilovsky_02310	CDS	348				hypothetical protein
Sudilovsky_02311	CDS	939				hypothetical protein
Sudilovsky_02312	CDS	366				hypothetical protein
Sudilovsky_02313	CDS	348	rplS		COG0335	Large ribosomal subunit protein bL19
Sudilovsky_02314	CDS	756	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
Sudilovsky_02315	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
Sudilovsky_02316	CDS	249	rpsP		COG0228	Small ribosomal subunit protein bS16
Sudilovsky_02317	CDS	1362	ffh	3.6.5.4	COG0541	Signal recognition particle protein
Sudilovsky_02318	CDS	795	ypjD		COG4137	Inner membrane protein YpjD
Sudilovsky_02319	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
Sudilovsky_02320	misc_RNA	70				MicA
Sudilovsky_02321	CDS	1554	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
Sudilovsky_02322	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
Sudilovsky_02323	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
Sudilovsky_02324	tRNA	77				tRNA-Arg(acg)
Sudilovsky_02325	tRNA	77				tRNA-Arg(acg)
Sudilovsky_02326	tRNA	77				tRNA-Arg(acg)
Sudilovsky_02327	tRNA	93				tRNA-Ser(gct)
Sudilovsky_02328	CDS	186	csrA		COG1551	Translational regulator CsrA
Sudilovsky_02329	CDS	2628	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
Sudilovsky_02330	CDS	495	recX		COG2137	Regulatory protein RecX
Sudilovsky_02331	CDS	1074	recA			Protein RecA
Sudilovsky_02332	CDS	495	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
Sudilovsky_02333	CDS	336				hypothetical protein
Sudilovsky_02334	CDS	489				hypothetical protein
Sudilovsky_02335	CDS	675				hypothetical protein
Sudilovsky_02336	CDS	1599				hypothetical protein
Sudilovsky_02337	CDS	1197	sotB_1			sugar efflux transporter
Sudilovsky_02338	CDS	882				HTH-type transcriptional regulator
Sudilovsky_02339	CDS	636	grxB_2		COG2999	Glutaredoxin 2
Sudilovsky_02340	CDS	417				hypothetical protein
Sudilovsky_02341	CDS	960	pvcA	4.1.99.24		L-tyrosine isonitrile synthase
Sudilovsky_02342	CDS	189	rhsC_1	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
Sudilovsky_02343	CDS	372				hypothetical protein
Sudilovsky_02344	CDS	1236				hypothetical protein
Sudilovsky_02345	CDS	312				hypothetical protein
Sudilovsky_02346	CDS	2265	rhsC_2	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
Sudilovsky_02347	CDS	177				hypothetical protein
Sudilovsky_02348	CDS	369				hypothetical protein
Sudilovsky_02349	CDS	2184	rhsC_3	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
Sudilovsky_02350	CDS	363				hypothetical protein
Sudilovsky_02351	CDS	486				hypothetical protein
Sudilovsky_02352	CDS	2091	rhsC_4	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
Sudilovsky_02353	CDS	384				hypothetical protein
Sudilovsky_02354	CDS	5190	rhsC_5	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
Sudilovsky_02355	CDS	918				hypothetical protein
Sudilovsky_02356	CDS	957				hypothetical protein
Sudilovsky_02357	CDS	780				hypothetical protein
Sudilovsky_02358	CDS	1371				hypothetical protein
Sudilovsky_02359	CDS	2037	vgrG1_3	2.4.2.31		Type VI secretion system spike protein VgrG1
Sudilovsky_02360	CDS	519	hcpA_6			Major exported protein
Sudilovsky_02361	CDS	279				hypothetical protein
Sudilovsky_02362	CDS	1353	esiB		COG0790	Secretory immunoglobulin A-binding protein EsiB
Sudilovsky_02363	CDS	1437				hypothetical protein
Sudilovsky_02364	CDS	3498				hypothetical protein
Sudilovsky_02365	CDS	1425				hypothetical protein
Sudilovsky_02366	CDS	561				hypothetical protein
Sudilovsky_02367	CDS	1539	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
Sudilovsky_02368	CDS	2598	clpV1			AAA+ ATPase ClpV1
Sudilovsky_02369	CDS	777				hypothetical protein
Sudilovsky_02370	CDS	1338	tssK1			Type VI secretion system baseplate component TssK1
Sudilovsky_02371	CDS	522				hypothetical protein
Sudilovsky_02372	CDS	1221				hypothetical protein
Sudilovsky_02373	CDS	999				hypothetical protein
Sudilovsky_02374	CDS	1767	tssF1			Type VI secretion system component TssF1
Sudilovsky_02375	CDS	432				hypothetical protein
Sudilovsky_02376	CDS	1479	tssC1			Type VI secretion system sheath protein TssC1
Sudilovsky_02377	CDS	504				hypothetical protein
Sudilovsky_02378	CDS	1251				hypothetical protein
Sudilovsky_02379	CDS	114				hypothetical protein
Sudilovsky_02380	CDS	99				hypothetical protein
Sudilovsky_02381	CDS	183				hypothetical protein
Sudilovsky_02382	CDS	156				hypothetical protein
Sudilovsky_02383	CDS	1032	albA	1.21.98.-	COG0535	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA
Sudilovsky_02384	CDS	837				hypothetical protein
Sudilovsky_02385	CDS	714				hypothetical protein
Sudilovsky_02386	CDS	981				hypothetical protein
Sudilovsky_02387	CDS	267				IS3 family transposase ISYpe1
Sudilovsky_02388	CDS	321	ykfI			Toxin YkfI
Sudilovsky_02389	CDS	459				hypothetical protein
Sudilovsky_02390	tRNA	76				tRNA-Thr(cgt)
Sudilovsky_02391	CDS	420				hypothetical protein
Sudilovsky_02392	CDS	1254	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
Sudilovsky_02393	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
Sudilovsky_02394	CDS	372	crl			Sigma factor-binding protein Crl
Sudilovsky_02395	CDS	336				hypothetical protein
Sudilovsky_02396	CDS	1248	frsA	3.1.1.1	COG1073	Esterase FrsA
Sudilovsky_02397	CDS	459	gpt	2.4.2.-	COG2236	Xanthine-guanine phosphoribosyltransferase
Sudilovsky_02398	CDS	1461	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
Sudilovsky_02399	CDS	1059	dinB	2.7.7.7	COG0389	DNA polymerase IV
Sudilovsky_02400	CDS	801				hypothetical protein
Sudilovsky_02401	CDS	774	ubiE_2	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
Sudilovsky_02402	CDS	735	yafK	2.-.-.-	COG3034	Putative L,D-transpeptidase YafK
Sudilovsky_02403	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
Sudilovsky_02404	CDS	582	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
Sudilovsky_02405	CDS	2448	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
Sudilovsky_02406	misc_RNA	107				Ysr224
Sudilovsky_02407	CDS	504				hypothetical protein
Sudilovsky_02408	CDS	1203	mtnK	2.7.1.100		Methylthioribose kinase
Sudilovsky_02409	CDS	1035	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
Sudilovsky_02410	CDS	546	mtnD_2	1.13.11.54	COG1791	Acireductone dioxygenase
Sudilovsky_02411	CDS	690	mtnC	3.1.3.77		Enolase-phosphatase E1
Sudilovsky_02412	CDS	618	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
Sudilovsky_02413	CDS	1158	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
Sudilovsky_02414	CDS	768	yafV	3.5.1.3	COG0388	Omega-amidase YafV
Sudilovsky_02415	CDS	1263	amaB	3.5.1.87		N-carbamoyl-L-amino acid amidohydrolase
Sudilovsky_02416	CDS	1245	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
Sudilovsky_02417	CDS	744	glnQ_2			Glutamine transport ATP-binding protein GlnQ
Sudilovsky_02418	CDS	657	tcyL_1		COG0765	L-cystine transport system permease protein TcyL
Sudilovsky_02419	CDS	666	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
Sudilovsky_02420	CDS	807	tcyJ_1		COG0834	L-cystine-binding protein TcyJ
Sudilovsky_02421	CDS	315				hypothetical protein
Sudilovsky_02422	CDS	840				hypothetical protein
Sudilovsky_02423	CDS	1587	hpxW	3.5.1.126		Oxamate amidohydrolase proenzyme
Sudilovsky_02424	CDS	213				hypothetical protein
Sudilovsky_02425	CDS	1491	atzE	3.5.1.131		1-carboxybiuret hydrolase subunit AtzE
Sudilovsky_02426	CDS	387				hypothetical protein
Sudilovsky_02427	CDS	198				hypothetical protein
Sudilovsky_02428	CDS	135				hypothetical protein
Sudilovsky_02429	CDS	1203	ousV		COG4175	Glycine betaine/choline transport system ATP-binding protein OusV
Sudilovsky_02430	CDS	1269	ousW		COG4176	Glycine betaine/choline transport system permease protein OusW
Sudilovsky_02431	CDS	1008	ousX		COG2113	Glycine betaine-binding periplasmic protein OusX
Sudilovsky_02432	CDS	891	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
Sudilovsky_02433	CDS	582				hypothetical protein
Sudilovsky_02434	CDS	1161	pgl_2	3.1.1.31		6-phosphogluconolactonase
Sudilovsky_02435	CDS	1221			COG2814	putative transporter
Sudilovsky_02436	CDS	732	ygaZ		COG1296	Inner membrane protein YgaZ
Sudilovsky_02437	CDS	330				hypothetical protein
Sudilovsky_02438	CDS	516	mprA		COG1846	Transcriptional repressor MprA
Sudilovsky_02439	CDS	1176	emrA_1		COG1566	Multidrug export protein EmrA
Sudilovsky_02440	CDS	1536	emrB		COG2814	Multidrug export protein EmrB
Sudilovsky_02441	CDS	1185	nupC_2		COG1972	Nucleoside permease NupC
Sudilovsky_02442	CDS	435				hypothetical protein
Sudilovsky_02443	CDS	1152	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
Sudilovsky_02444	CDS	420	trxC	1.8.1.8	COG3118	Thioredoxin 2
Sudilovsky_02445	CDS	750	tapT	2.5.1.25	COG3148	tRNA-uridine aminocarboxypropyltransferase
Sudilovsky_02446	CDS	2652	patZ	2.3.1.-	COG0045	Peptidyl-lysine N-acetyltransferase PatZ
Sudilovsky_02447	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase PssA
Sudilovsky_02448	CDS	1281	kgtP		COG0477	Alpha-ketoglutarate permease
Sudilovsky_02449	rRNA	111				5S ribosomal RNA
Sudilovsky_02450	tRNA	76				tRNA-Thr(ggt)
Sudilovsky_02451	rRNA	111				5S ribosomal RNA
Sudilovsky_02452	misc_RNA	150				StyR-44
Sudilovsky_02453	tRNA	76				tRNA-Ala(tgc)
Sudilovsky_02454	tRNA	77				tRNA-Ile(gat)
Sudilovsky_02455	rRNA	1538				16S ribosomal RNA
Sudilovsky_02456	CDS	564	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
Sudilovsky_02457	CDS	1032	metN_3	7.4.2.11	COG1135	Methionine import ATP-binding protein MetN
Sudilovsky_02458	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
Sudilovsky_02459	CDS	816	metQ_3		COG1464	D-methionine-binding lipoprotein MetQ
Sudilovsky_02460	CDS	411	rcsF			Outer membrane lipoprotein RcsF
Sudilovsky_02461	CDS	717	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
Sudilovsky_02462	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
Sudilovsky_02463	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
Sudilovsky_02464	CDS	1035	nlpD			Murein hydrolase activator NlpD
Sudilovsky_02465	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
Sudilovsky_02466	CDS	1047	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
Sudilovsky_02467	CDS	498	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
Sudilovsky_02468	CDS	714	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Sudilovsky_02469	CDS	336	ftsB		COG2919	Cell division protein FtsB
Sudilovsky_02470	CDS	786	glnH_3		COG0834	Glutamine-binding periplasmic protein
Sudilovsky_02471	CDS	765	artQ_3		COG0765	Arginine transport system permease protein ArtQ
Sudilovsky_02472	CDS	723	glnQ_3	7.4.2.-	COG1126	Glutamine transport ATP-binding protein GlnQ
Sudilovsky_02473	CDS	348	ygbE			Inner membrane protein YgbE
Sudilovsky_02474	CDS	681	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
Sudilovsky_02475	CDS	1491	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
Sudilovsky_02476	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
Sudilovsky_02477	CDS	1443	cysG_2		COG0007	Siroheme synthase
Sudilovsky_02478	CDS	801				hypothetical protein
Sudilovsky_02479	CDS	876	dppC_1			Di/tripeptide transport system permease protein DppC
